Date,Average Open Price (USD),Average High Price (USD),Average Low Price (USD),Average Close Price (USD)
2014-11-15,395.41284333333334,399.76474333333334,372.9806266666667,377.83
2014-11-16,384.17666333333335,393.96333000000004,378.26899000000003,386.0233333333333
2014-11-17,391.24966666666666,412.08751,375.6675333333333,391.75
2014-11-18,389.1166666666666,393.50333333333333,370.46378000000004,373.30148333333335
2014-11-19,380.30584,386.99584,373.0519133333333,382.72933000000006
2014-11-20,383.16598999999997,384.13599000000005,353.17303666666675,355.5773133333334
2014-11-21,353.45840666666663,358.17333333333335,343.6033166666667,353.51
2014-11-22,354.0333333333333,365.39333000000005,352.2633333333333,356.4899966666667
2014-11-23,353.9266666666667,368.0233333333333,353.25,365.91333333333336
2014-11-24,367.47333333333336,387.32667,354.82,373.71370333333334
2014-11-25,379.84,391.7033333333334,374.4633333333333,376.3966666666667
2014-11-26,375.35999999999996,382.48793666666666,365.1949666666667,369.74756
2014-11-27,374.4893833333333,378.16605,366.50813666666664,372.1502366666667
2014-11-28,373.2833333333333,382.8733333333333,359.34781,379.8086666666666
2014-11-29,379.41633333333334,385.5333333333333,374.44506333333334,376.35506333333336
2014-11-30,378.8198566666667,382.87318999999997,377.56652333333335,380.01752333333326
2014-12-01,379.3746233333333,383.01800000000003,372.68316999999996,376.05198
2014-12-02,377.97333333333336,383.85809,375.0266466666667,378.8757
2014-12-03,378.7369633333333,383.66385999999994,373.23868666666664,377.022
2014-12-04,377.46433333333334,379.28999999999996,363.17630333333335,373.05743
2014-12-05,372.79608666666667,379.4866666666667,369.3452933333333,376.52629666666667
2014-12-06,376.38496000000004,383.56666666666666,369.79334,373.7166666666667
2014-12-07,374.32,381.39897333333334,371.50044333333335,374.9213333333333
2014-12-08,375.26,376.30332999999996,360.33499666666665,366.86962666666665
2014-12-09,362.85066666666665,368.2890466666667,343.98342333333335,350.45504666666665
2014-12-10,350.9623333333334,355.82,344.6953766666666,345.89537666666666
2014-12-11,345.7825133333333,366.62073000000004,341.97387333333336,357.02073
2014-12-12,353.0866633333333,358.52666666666664,348.2071633333333,355.02666666666664
2014-12-13,355.32307,355.68307,348.4533333333333,351.51666666666665
2014-12-14,351.2333333333333,358.34242666666665,348.1433333333334,353.06333333333333
2014-12-15,353.8066733333333,356.80049666666673,344.8486,346.0752666666667
2014-12-16,351.96845333333334,352.13512,329.34666666666664,329.9166666666667
2014-12-17,330.82917000000003,342.7787733333333,315.0866766666667,323.39386333333334
2014-12-18,324.2596866666666,337.2266666666667,306.2033333333333,310.64587
2014-12-19,313.97666666666663,335.0395733333333,307.7078266666667,328.0181
2014-12-20,327.78077333333334,337.32744,320.81333,330.6199966666667
2014-12-21,330.39998333333335,331.79340666666667,318.4543266666667,320.74333333333334
